"","latitude","longitude"
"00001-poids-de-lhuile",43.604134687021,1.44542078073928
"00007-place-victor-hugo",43.6058521621779,1.44659381221841
"00008-espace-saint-georges",43.6030776947798,1.44804713795463
"00013-lois-esquile",43.6062131819025,1.44133107759038
"00014-perigord",43.6073520535788,1.44426962055132
"00015-pont-montaudran",43.59642,1.4565
"00017-strasbourg-sardane",43.6061069288979,1.44806182530315
"00018-strasbourg-jean-jaures",43.6062971877073,1.44824440833033
"00021-carnot-labeda",43.6041114379856,1.45024513036944
"00022-carnot-roland",43.6022199081578,1.45195665819857
"00023-combattants",43.6012859372634,1.45205771368413
"00025-place-rouaix",43.5994350459672,1.44558073238826
"00026-dalbade-de-gorsse",43.5980475392432,1.4430051339937
"00027-quai-de-tounis",43.5993837281482,1.4404611064057
"00031-salenques",43.6074900232999,1.43922052825561
"00032-musee-st-raymond",43.6076503341721,1.44120957382546
"00033-beraldi",43.6085687130847,1.44357023838711
"00034-saint-lazare",43.609650036285,1.4460768798733
"00035-place-jeanne-darc",43.60964,1.4469
"00036-place-schuman",43.6096231672839,1.44936782298291
"00037-ste-lucie",43.593506929037,1.42988070604336
"00039-place-damloup",43.6058323211838,1.45293970882842
"00040-colombette",43.6046601361348,1.45358869174678
"00041-st-aubin-camichel",43.6026536423207,1.45443607879619
"00042-dauriac-escande",43.6015881749557,1.45604810026783
"00043-dupuy",43.5999902710412,1.45409382428697
"00046-place-des-carmes",43.597401475499,1.44531564933145
"00047-nazareth-languedoc",43.5954617575877,1.44553144517134
"00048-place-du-salin",43.5947491197326,1.4441327112688
"00049-coutelier-metz",43.599589544431,1.44143496529524
"00051-duportal-brienne",43.6050356887458,1.43484323578632
"00052-duportal-cite-admin",43.6086474542151,1.43465009606282
"00054-chaine",43.608420337508,1.43976255676851
"00055-st-sernin-g-arnoult",43.6089519604964,1.4410035987262
"00056-saint-sernin-merly",43.6090298187576,1.44280843667549
"00057-merly-arcole",43.6104884274257,1.4431072280246
"00060-roquelaine",43.6126365223399,1.44854159838547
"00063-piscine-leo-lagrange",43.6074334874013,1.45418901792343
"00064-peri-mercadier",43.6061726307089,1.45498779876602
"00066-jardin-royal",43.5964782221076,1.45109333987327
"00068-metro-palais-de-justice",43.59265,1.44455
"00070-fer-a-cheval",43.59253,1.43421
"00071-cours-dillon",43.5931893428367,1.43489432834944
"00072-fitte-cugnaux",43.5950494917563,1.43268830787728
"00073-fitte-teinturiers",43.5962847638637,1.43207510606875
"00074-laganne-teinturiers",43.5966605629356,1.43617519700951
"00075-chateau-d-eau",43.5985426071022,1.43659075722051
"00076-republique-pl-olivier",43.5984949088346,1.43518155709792
"00079-place-lange",43.6011288056174,1.43413810670809
"00083-sejourne-amidonniers",43.6055917312578,1.42825385189699
"00084-brienne-manufacture",43.6052423959695,1.43268768271885
"00085-marechal-leclerc",43.60670800856,1.43059871626008
"00086-heracles-bearnais",43.6080202785365,1.42845023144365
"00087-lascrosses-leclerc",43.6095000042407,1.43233572992868
"00090-lascrosses-a-bernard",43.6114697143629,1.43787138555075
"00091-arcole-balance",43.6115840875899,1.43973757987972
"00093-printemps",43.6144655444255,1.44361404386217
"00094-semard-gare-routiere",43.6138291280336,1.45147977926632
"00095-theatre-garonne",43.6025281055038,1.42522275295333
"00097-raymond-iv",43.6124358815605,1.45147664662089
"00098-pont-des-demoiselles",43.5876779901289,1.45983630955323
"00099-rempart-st-etienne",43.6008250248339,1.45065484986121
"00100-port-st-sauveur",43.5969740670504,1.4556740427761
"00101-capt-port-st-sauveur",43.5942648504409,1.45632183659129
"00106-brienne-passerelle",43.6084221115685,1.42386687477895
"00108-sebastopol-ritay",43.6122837013479,1.42879062905328
"00111-minimes-passerelle",43.6152597992241,1.44292117584534
"00112-place-russel-branly",43.5852668401728,1.4529365149254
"00114-bd-montplaisir-canal",43.5923910122271,1.45800786139055
"00115-demoiselles-mistral",43.5906220110257,1.45380582507814
"00116-st-michel-notre-dame",43.5883597911033,1.44648316566718
"00117-billieres-poste",43.5968529566207,1.42588227328992
"00118-place-du-busca",43.5881792539208,1.45076452847152
"00120-ponts-jumeaux",43.610353515243,1.42054540744298
"00132-minimes-bilard",43.622937795416,1.43447369218877
"00134-eglise-bonnefoy",43.6189409438153,1.45665875490709
"00135-bonnefoy-lemaitre",43.623163260193,1.45858573996436
"00136-fontaines",43.6020509196015,1.41453135957146
"00137-brunhes-fontaines",43.6009492479252,1.42027580241252
"00143-desbals-saintonge",43.5813322052426,1.41343167605157
"00147-chaussas-daudet",43.6199074846736,1.42896628241949
"00148-collignon",43.6169269653032,1.44452816744598
"00149-raisin-minimes",43.6153685849135,1.44848670955268
"00150-curie-campistron",43.6259309595493,1.43987090056637
"00151-curie-negreneys",43.6245910885719,1.44305961173252
"00153-bourges-maunoury",43.6284694204974,1.44793628689542
"00159-urss-devic",43.5785038852904,1.45028408337638
"00160-theatre-jules-julien",43.5739249402029,1.45199938638325
"00161-rangueil-bedouce",43.5764475110001,1.45491511202436
"00162-place-ditalie",43.5802765386376,1.45491780578712
"00163-bedouce-midi",43.5814592115875,1.46219446466743
"00164-bedouce-saouzelong",43.5797254327437,1.46009442602239
"00165-place-des-avions",43.5768679202236,1.46018774206711
"00168-bila-route-d-albi",43.6265098133531,1.45893020788762
"00171-route-d-albi-cactus",43.6408973504266,1.46630839181316
"00173-maunoury-segela",43.6331828272491,1.45053596993473
"00176-general-compans",43.6067904684559,1.45800884644133
"00177-baillaud-brunaud",43.617438678162,1.46539185105244
"00178-brunaud-plana",43.6192814029374,1.468753766919
"00179-cassaing-plana",43.6168026524186,1.4735051610083
"00181-plana-garnier",43.610549420565,1.4795004816774
"00182-chaubet",43.6059308324773,1.48195716205181
"00183-rue-de-cugnaux",43.5931301810241,1.42463077628583
"00185-roubichou-arles",43.6270484665083,1.46551733837382
"00186-desbals-boualam",43.5792182218804,1.41112908179427
"00187-desbals-montdore",43.5845231234952,1.41554396037312
"00188-muretlafage",43.584282965329,1.42751710742151
"00189-muret-boutinon",43.5813522826386,1.42532582828071
"00190-espagne-les-oustalous",43.5782753633891,1.42391602250652
"00191-rue-du-14-juillet",43.5899849938932,1.41518378561974
"00192-rte-de-st-simonprado",43.5876594130538,1.40916212555251
"00193-lombez-petite-vitesse",43.5948493825455,1.41537734904729
"00194-lombez-hippodrome",43.5942067652692,1.41065111417402
"00196-goujon-guilhemery",43.6017932127447,1.45804866294177
"00197-caserne-perignon",43.6003860581848,1.46409371615202
"00198-lafilaire-deltour",43.5962277155773,1.47345760065947
"00199-deltour-rieux",43.5915283100136,1.4702762839564
"00200-place-de-lormeau",43.5790692296515,1.48366977505485
"00201-potez-st-exupery",43.5796553266431,1.48049587613679
"00202-st-ex-courrege",43.5816689490615,1.47600217659985
"00203-st-ex-petit-prince",43.5834192540153,1.47007784484393
"00204-pl-roger-arnaud",43.5867791429487,1.46316404579227
"00205-cottage-rieux",43.5858861382135,1.47508540800772
"00206-leygue-rieux",43.5943415059249,1.46466841910862
"00207-christ-roi",43.583006983755,1.48150897256919
"00208-limayrac-darasse",43.59122002357,1.48008748375626
"00209-baroux-darasse",43.5894669821434,1.47891428600469
"00210-terrasse-centre-co",43.586074956654,1.4830210409466
"00211-le-dormeur-la-terrasse",43.5835061592342,1.48781984362323
"00212-chaumiere-cretes",43.6152273741083,1.46537612503241
"00213-pujol-chaubet",43.6007551770534,1.46751413106582
"00214-castres-achiary",43.6007954403134,1.47366063189684
"00215-metro-argoulets",43.6238144240965,1.47584902878243
"00216-argoulets-houdon",43.6228293809211,1.47405740130861
"00217-amouroux-st-tropez",43.6296716006332,1.4664425134118
"00218-amouroux-ste-augustine",43.6276035873514,1.46190795364139
"00220-tabar-universite",43.5746121327025,1.40230245215212
"00221-vauquelin",43.5764189547753,1.40648876885149
"00222-cambou-roche",43.5628140764194,1.47517386253435
"00223-enac",43.5651043005754,1.47834074103018
"00224-campus-supaero",43.5665957613637,1.47488196169573
"00225-belin-onera",43.5694770720628,1.47326855435408
"00226-fontaines-casselardit",43.6041904083899,1.40721128992902
"00228-metro-pharmacie",43.5677165058716,1.46445685202763
"00230-rangueil-tripode-b",43.5672211537085,1.46767832356047
"00231-narbonne-marfaing",43.557243695153,1.46537065799251
"00232-narbonne-mirouse",43.5694372511346,1.45608644597044
"00233-narbonne-sahuque",43.5664127635063,1.45885250049958
"00236-toec-lemire",43.5972944389558,1.40387294895004
"00237-cnrs",43.5636146450106,1.47977220970447
"00238-herbettes-butte",43.5794258356308,1.473118127214
"00240-rte-de-blagnac-job",43.6172496485261,1.40812446002856
"00241-espagne-charpentier",43.5745765451364,1.42443256467288
"00242-raimbaud-colette",43.6338661781519,1.43749379620012
"00243-etats-unis-ferry",43.632641237523,1.43180804154469
"00244-renan-vitry",43.6357067760697,1.44375182239788
"00245-grande-bretagne-badiou",43.5999082407213,1.41518438915584
"00246-wagner-jean-brunhes",43.6039053241883,1.42014176036044
"00248-bouquetinse-rostand",43.6410895880666,1.44903927557563
"00249-croix-daurade",43.6381289958261,1.46521198710394
"00250-11-novembre",43.5930975342926,1.41442863594639
"00252-negreneys-caseneuve",43.62687,1.44404
"00253-etats-unis-robert",43.6319121122554,1.43168347755474
"00256-place-de-la-rontonde",43.59666,1.4842
"00257-chateau-de-lhers",43.60086,1.48346
"00258-cambard",43.62957,1.47643
"00259-place-riche",43.64751,1.43298
"00260-duclos-fronton",43.64495,1.43379
"00262-rond-point-chemin-de-borderouge",43.64265,1.45632
"00263-lycee-polyvalent",43.58444,1.39867
"00264-lafourguette",43.56507,1.41028
"00265-passage-bordelongue",43.56793,1.41325
"00266-touraine",43.57375,1.41398
"00268-place-baylac",43.60868,1.3972
"00269-place-sauvegrain",43.58996,1.37764
"00271-ancely",43.61948,1.39711
"00272-andre-vasseur",43.63539,1.47297
"00273-passerieu-st-simon",43.5792,1.39262
"00274-gallieni",43.574,1.41954
"00275-place-des-pradettes",43.58171,1.38887
"00276-marin-reboul",43.58132,1.37975
"00277-zamenhof",43.58549,1.37708
"00278-arenes-romaine",43.6142,1.39709
"00279-guy-espagno",43.61354,1.40142
"283-place-micouleau",43.63805,1.44442
