"","latitude","longitude"
"00906-gare-de-lest",48.8764198136411,2.3586300645446
"01001-ile-de-la-cite-pont-neuf",48.8570916352182,2.34174799515786
"01007-etienne-marcel",48.8635670471195,2.3477020211411
"01019-saint-honore-vendome",48.8666980084735,2.32828818571664
"02004-reaumur-montorgueil",48.8669737142397,2.3486324654447
"02012-quatre-septembre",48.8699697339689,2.3360394555421
"05006-saint-jacques-soufflot",48.8465169205868,2.34312380336734
"05009-square-viviani",48.8516511793671,2.34746333451965
"05012-ulm-lhomond",48.8451434940088,2.34541268121351
"05022-cardinal-lemoine",48.8462950317216,2.35222292160749
"05024-place-monge",48.8427350429896,2.35247243722336
"05032-pantheon-carmes",48.8469867528133,2.34649965376298
"05033-saint-severin",48.8527056477051,2.34413776324567
"05106-cujas",48.8481913485843,2.34183165485398
"05110-lacepede",48.8438603532488,2.35190222528039
"06002-saint-peres",48.8554999843907,2.33344522003119
"06003-saint-sulpice",48.8516478481426,2.33081707438869
"06005-montparnasse",48.8432954570368,2.32654113412794
"06008-assas-luxembourg",48.8437344687794,2.33342838187589
"06010-montparnasse-chevreuse",48.8417391612309,2.33155221673674
"06017-senat-conde",48.8495800021863,2.33784843717954
"06018-michelet-assas",48.842540966044,2.3350678855655
"06108-saint-romain-cherche-midi",48.8470300806263,2.32128942100679
"07008-solferino",48.8583186469038,2.32383843778942
"07011-st-dominique",48.8590683949631,2.318624221125
"08003-galille",48.8717051913931,2.29852826567981
"08011-dublin",48.8809353567738,2.32451663514648
"08012-clichy",48.8833180443546,2.32620717538549
"08027-mairie-du-8-eme",48.8779840275035,2.31840486278285
"08028-houssaye",48.8734340813977,2.29770677798004
"08035-narvick",48.8765999408354,2.31316505435543
"08036-rio",48.8774556768138,2.30969422141951
"08039-colisee",48.8704819385523,2.30766254015219
"08044-van-dyck",48.8783613836142,2.30525444822057
"08047-george-v",48.8681659405583,2.30127460931682
"08049-dunant",48.8704378053506,2.30083026142352
"08051-chaptal",48.881914,2.320284
"08052-washington",48.8728829909744,2.29997293264267
"08055-ternes-courcelles",48.8781888764185,2.29929600386146
"08056-wagram",48.875377647487,2.29655534247627
"08101-londres-amsterdam",48.878034461504,2.32648354096942
"08104-friedland-chateaubriand",48.8740144756374,2.29991625786582
"08105-francois-1er-lincoln",48.8695179793442,2.30242621884156
"08110-stockolm-rome",48.8771119187665,2.32232932086804
"09002-maubeuge-condorcet",48.8792233706285,2.34914749353609
"09004-rochechouart-gerando",48.8829110895394,2.34631937162712
"09005-square-danvers",48.8826334843108,2.34488440621221
"09008-tour-dauvergne",48.8791617777755,2.34369843072095
"09010-cadet",48.876719895109,2.34439302185395
"09012-rougemont",48.8715422136421,2.34583645559793
"09015-lamartine",48.8766221203731,2.33979989931612
"09018-place-pigalle",48.8820702270344,2.33667963144424
"09019-victor-masse",48.881149033953,2.33668100429512
"09020-toudouze-clauzel",48.8795052656248,2.33719063927171
"09021-saint-georges",48.877872278318,2.33744680420367
"09026-bruyere-pigalle",48.8793982644772,2.33370917333728
"09027-fontaine-douai",48.8823532598454,2.33326337274818
"09028-moncey-blanche",48.8801539858598,2.33107516002003
"09031-provence",48.8742844754207,2.33297651156431
"09036-athenes-clichy",48.878113787876,2.32956021945824
"09037-clichy-parme",48.8812664242266,2.32819709345057
"09039-chaussee-dantin",48.87243,2.33359
"09102-place-destienne-dorves",48.8767324989372,2.33048422584945
"09108-rochechouart-maubeuge",48.8778900149743,2.34478560298721
"09111-la-fayette-provence",48.8751437349467,2.33811850514438
"10005-conservatoire",48.8739721723737,2.34838875750478
"10017-gare-de-lest-saint-laurent",48.8745750367803,2.3567967652049
"10021-marche-st-quentin",48.8773560576523,2.35451144563739
"10033-lariboisiere",48.8809557416478,2.35243051483852
"10151-gare-du-nord-1",48.8796393529952,2.35690495841521
"11030-saint-maur-oberkampf",48.865307984235,2.37601991201957
"11031-parmentier",48.8645557653168,2.3730715073892
"12041-bois-de-vincennes",48.8336548528303,2.41346357648683
"12114-porte-de-saint-mande",48.8439490640318,2.41508139483442
"12115-porte-de-vincennes",48.8464193692794,2.41563660714614
"13015-weiss",48.832570718038,2.37123198668192
"13027-mazagrand-coubertin",48.816258257226,2.34418192298955
"13033-porte-ditalie",48.817312300432,2.36021848094357
"13035-ivry-tolbiac",48.8259701363971,2.36023184075509
"13039-ivry-pointe-divry",48.8232196831694,2.3654696281062
"13041-porte-divry",48.8219624410174,2.36852869997212
"13044-place-jeanne-darc",48.8295757268385,2.36912681571713
"13110-moulin-de-la-pointe",48.8210392869898,2.35634514417292
"13116-place-du-docteur-yersin",48.8202267926197,2.37220930964573
"14003-raspail-schoelcher",48.8368508158421,2.33130360086039
"14006-saint-jacques-tombe-issoire",48.8331903187525,2.33693339124815
"14007-saint-jacques-ferrus",48.8313666800046,2.34081188215241
"14008-mouton-duvernet",48.8315066756745,2.32931936321666
"14012-sibelle-alesia",48.8267039411836,2.33863632415865
"14013-liart-amiral-mouchez",48.8212276633185,2.34210421455797
"14015-cite-universitaire",48.8201501077582,2.33992642818773
"14018-porte-dorleans",48.8228575017159,2.32504267091704
"14025-jacquier",48.8295704047322,2.31835302141387
"14026-plantes-moulin-vert",48.8301471957921,2.32331344598022
"14027-alesia-gergovie",48.8308871745524,2.31888210120735
"14031-didot-chateau",48.8337,2.3215
"14036-boulard-daguerre",48.8343907970068,2.32930394654529
"14037-jean-moulin",48.8257098170281,2.32184998734424
"14103-maine-liancourt",48.835064363954,2.32373144997399
"14104-losserand-boyer-barret",48.833139,2.317377
"14106-stade-didot",48.8253258700605,2.31067065346762
"14108-jourdan-le-brix-et-mesnin",48.8223409659341,2.32786165330247
"14110-abbe-carton",48.8277462660758,2.32071409808913
"14116-romain-rolland",48.8203236461268,2.32300304092451
"14120-jourdan-barboux",48.8219553064561,2.32680686990588
"14125-dareau",48.8307232145836,2.33614655720435
"14127-odessa",48.8428422780744,2.32444156513947
"15002-bourdelle",48.8430853174659,2.32026394678474
"15016-dutot",48.8383124746242,2.30853184382216
"15017-procession",48.8363338618169,2.31046623803085
"15019-vaugirard-cambronne",48.8400577188391,2.30450742096121
"15020-mairie-du-15eme",48.8417096401611,2.29854929401185
"15038-place-adolphe-cherioux",48.8396350805619,2.30065445929164
"15039-charles-vallin",48.8360583938563,2.30186596838429
"15041-labrouste",48.8328539082769,2.3068984782082
"15043-brancion",48.8290542164508,2.30141743604383
"15045-plaine",48.8281749363658,2.29258752254824
"15047-dantzig",48.8331797705565,2.29928264159962
"15048-olivier-de-serre",48.8305456694458,2.29204639669968
"15050-pado-croix-nivert",48.83656,2.28976
"15051-rollet",48.835981004456,2.29346711912861
"15060-mondrian",48.8442928655765,2.2773458970965
"15067-desaix",48.8528046049403,2.29307702985722
"15068-boulevard-victor",48.838171310249,2.27033837974637
"15105-suffren-federation",48.8527667435281,2.29787643146792
"15112-falguiere-lebrun",48.838758813497,2.3109360795034
"15113-falguiere-arsonval",48.8404004036544,2.31311786729747
"15120-avia",48.8296843300915,2.27534258685029
"16001-avenue-des-portugais",48.8712137121912,2.29369213364784
"16006-rue-lauriston",48.8692602237345,2.28991872283876
"16009-saint-didier",48.8664391603377,2.28574594430153
"16010-belles-feuilles",48.8658554963631,2.28285990897973
"16012-boulevard-flandrin",48.8687784917848,2.27435453917683
"16016-paul-doumer-la-tour",48.8601161096266,2.28084048191106
"16017-rue-de-siam",48.8617203290273,2.27534656855531
"16018-flandrin",48.864411409459,2.27244864764647
"16019-henri-martin",48.8630253153883,2.26880655019948
"16020-porte-de-passy",48.8573821279933,2.264277072081
"16022-rue-jean-bologne",48.8575668897845,2.28002739530677
"16023-rue-de-passy",48.8583812528973,2.28412901289213
"16026-ranelagh",48.8554848837201,2.2704086573957
"16031-boulainvilliers",48.8561507433887,2.27518841467119
"16040-exelmans",48.8431044947352,2.25982139174208
"16043-place-de-passy",48.857802917112,2.2775005469422
"16102-pergolese-marbeau",48.873568706869,2.28151252252986
"16105-crevaux",48.8708094286696,2.28114900769185
"16107-godard",48.8659832410243,2.2757256357312
"16110-octave-feuillet",48.8609983661382,2.27312852713658
"16115-raffet",48.8526188461086,2.26293003910335
"16116-georges-sand",48.8498691876412,2.2682573875257
"16118-michel-ange",48.8406103996637,2.25837365819895
"16121-sablons-maillot",48.8787208918302,2.27056809720919
"16123-mahatma-gandhi",48.876356,2.264205
"16130-bois-de-boulogne-porte-de-la-muette-2",48.8637579310351,2.26750468357477
"17033-carnot",48.8755384211021,2.29373210016993
"17039-place-saint-ferdinand",48.8781552978974,2.28851804786494
"17042-porte-maillot",48.8777500334188,2.28444435655372
"17043-place-general-koenig",48.8802336276132,2.28538067947359
"17045-place-des-ternes-5",48.8784103864828,2.29783106471363
"17046-mac-mahon",48.8775320841302,2.29451253605293
"17048-tocqueville",48.8824022854016,2.31400041122298
"17105-paladines",48.8834980819485,2.28201558962579
"17111-lemercier",48.890020496141,2.3175909298999
"18001-damremont-caulaincourt",48.8872746426427,2.33264836384539
"18004-abbesses",48.8844823927275,2.33881229702936
"18014-doudeauville-leon",48.8883242184522,2.3535733726386
"18017-pecqueur",48.8896779050281,2.33817871442611
"18021-marcadet-ramey",48.8909223829679,2.34498648211052
"18024-clignancourt-marcadet",48.8914577261538,2.34863647806049
"18028-vauvenargues",48.894057251327,2.33219933598001
"18031-albert-kahn",48.8957969797804,2.34558558413486
"18041-martyrs-2",48.8821942039509,2.34065184962233
"18046-fourche",48.8879401639469,2.32612442031434
"18107-chartres",48.8847068639833,2.35358041022707
"18113-lepic",48.8875730709534,2.33432733641793
"19027-serrurier",48.8806060535742,2.3978962906105
"19034-pantin",48.8903419552168,2.39781364218954
"19109-place-du-maroc",48.8862334174298,2.36885639049963
"20002-pixerecourt",48.8738036229888,2.39601222330053
"20009-docteur-dejerine",48.8540232845259,2.41205801660568
"20011-pyrenees-dagorno",48.8555013539889,2.40516852063917
"20014-charonne-alexandre-dumas",48.85599402,2.39490886
"20015-bagnolet-orteaux",48.8571433920909,2.398472
"20019-maquis-du-vercors-porte-des-lilas",48.877336,2.408573
"20023-pelleport-belgrand",48.8650008184765,2.40398083637749
"20025-gambetta-gatines",48.8653941647232,2.39781447530757
"20026-pelleport",48.8679251540267,2.40097662354654
"20034-sorbier-menilmontant",48.8685264710698,2.38979540953546
"20040-parc-de-belleville",48.8703936716038,2.38422247271259
"20042-pyrenees-ermitage",48.8721573799357,2.3917391737763
"20106-mairie-du-20eme",48.8653522420003,2.3989464480811
"20108-hospice-debrousse",48.8615729587877,2.40568863716159
"20109-surmelin-haxo",48.8694370761222,2.40539657537972
"20111-lisle-adam-pyrenees",48.8673622971658,2.39622289098869
"20112-jourdain",48.8740924809158,2.38943590833061
"20115-porte-de-bagnolet",48.864423648566,2.41041111584463
"20118-orteaux-mouraud",48.8555864284787,2.40876290776467
"20121-menilmontant-boyer",48.8689101274487,2.3920204892863
"20122-davout-vitruve",48.8602401209524,2.40875842782218
"20133-rasselins",48.853528685941,2.40961536277553
"21001-transval-boulogne-billancourt",48.848299809537,2.23757011020717
"21003-jaures-1-boulogne-billancourt",48.8456381388333,2.23701147134366
"21005-morizet-boulogne-billancourt",48.8349539796646,2.24168824710241
"21006-paris-boulogne-billancourt",48.8415970289018,2.23349677554428
"21008-hugo-boulogne-billancourt",48.8379233147709,2.2460641515441
"21012-leclerc-boulogne-billancourt",48.8305862961605,2.23449077993291
"21013-grenier-boulogne-billancourt",48.8258469346999,2.24882139108772
"21014-hameau-fleuri-boulogne-billancourt",48.8314286500504,2.24120465343616
"21018-seine-boulogne-billancourt",48.8282434941585,2.25065773963902
"21021-paradis-boulogne-billancourt",48.8331749589101,2.25700586730089
"21102-nations-unies-clichy",48.8971098501329,2.30990049821369
"21109-guichet-clichy",48.9051370039685,2.3025031605813
"21113-petit-clichy",48.8993483537726,2.29662648341284
"21203-briand-montrouge",48.8125109081987,2.32568062304452
"21204-dorves-montrouge",48.8153882203973,2.32088679076093
"21207-verdier-montrouge",48.8155296336784,2.31702986373133
"21304-blum-issy-les-moulineaux",48.8209551078801,2.26073641334576
"21310-kleber-issy-les-moulineaux",48.8269297673693,2.27225043195652
"21502-verdun-suresnes",48.8710030415404,2.22747747677092
"21503-ledru-rollin-suresnes",48.8709204876335,2.22958935220659
"21702-basch-vanves",48.8189398642899,2.29195987246791
"21704-republique-vanves",48.8217026998931,2.28539562482839
"21707-pasteur-vanves",48.8250993292156,2.29250033145655
"22002-argenson-neuilly",48.8886487735565,2.26390460269214
"22003-beffroy-neuilly",48.8867049831048,2.26126351803174
"22005-de-gaulle-3-neuilly",48.8842989293728,2.26099177209953
"22007-charcot-neuilly",48.8753602839083,2.25569933162912
"22008-de-gaulle-neuilly",48.8829516253547,2.26513500874184
"22009-de-gaulle-2-neuilly",48.88119,2.27186
"22010-de-gaulle-4-neuilly",48.8816744459654,2.27117749892451
"22011-montrosier-neuilly",48.8794413696326,2.27853571712278
"22012-michelis-neuilly",48.8827499154713,2.27740638127753
"22013-sainte-foy-neuilly",48.8851400530909,2.26780000825352
"22014-hugo-neuilly",48.8878010685929,2.2780724243682
"22404-brossolette-2-malakoff",48.8175597535818,2.30748584126749
"22405-nord-malakoff",48.8193391584096,2.30047686504791
"23001-couturier-1-levallois",48.8936146524531,2.27761872722319
"23006-guesde-levallois",48.8908603228911,2.29500037013538
"28001-wallace-puteaux",48.8787068534676,2.24197549369391
"28003-jaures-puteaux",48.8804708721965,2.23736244630457
"31002-republique-montreuil",48.8528141913458,2.41930708875366
"31003-paris-montreuil",48.8549113323991,2.41877242975671
"31004-paris-2-montreuil",48.8555013128647,2.42205573361323
"31706-chateau-bagnolet",48.863025492266,2.41562220417951
